AB,atom_A,atom_B,structure,volume_per_atom,form_en_per_atom,bandgap
SnCd,Sn,Cd,s3,33.21,0.20,0.00
CdPb,Cd,Pb,s3,35.95,0.23,0.00
CrNi,Cr,Ni,s3,15.06,1.35,0.00
FeCr,Fe,Cr,s3,14.12,1.17,0.00
NiMo,Ni,Mo,s3,17.63,1.26,0.00
CoMo,Co,Mo,s3,17.00,0.97,0.00
CrW,Cr,W,s3,18.25,1.54,0.00
CrMo,Cr,Mo,s3,19.48,2.08,0.00
SnDy,Sn,Dy,s3,38.17,-0.14,0.00
ScDy,Sc,Dy,s3,39.02,1.33,0.00
CaAl,Ca,Al,s3,44.02,0.85,0.00
BiHf,Bi,Hf,s3,37.11,0.73,0.00
EuGd,Eu,Gd,s3,45.92,1.24,0.00
ScHf,Sc,Hf,s3,32.03,1.70,0.00
SiMo,Si,Mo,s3,18.80,0.29,0.08
SnY,Sn,Y,s3,38.22,-0.18,0.00
NiEr,Ni,Er,s3,24.90,0.22,0.00
SFe,S,Fe,s3,15.12,-0.20,0.00
GdLu,Gd,Lu,s3,43.54,1.26,0.00
HgPr,Hg,Pr,s3,42.49,0.28,0.00
ZnGd,Zn,Gd,s3,34.26,0.68,0.00
InLu,In,Lu,s3,40.93,0.74,0.00
GaI,Ga,I,s3,51.55,-0.27,2.63
BaRh,Ba,Rh,s3,35.00,0.68,0.00
ZnNd,Zn,Nd,s3,36.54,0.65,0.00
NaW,Na,W,s3,35.99,5.15,4.20
BrIr,Br,Ir,s3,17.97,1.04,0.00
InPb,In,Pb,s3,37.86,0.25,0.00
GdYb,Gd,Yb,s3,35.17,0.23,0.00
MgAg,Mg,Ag,s3,29.97,0.43,0.00
AsFe,As,Fe,s3,14.40,0.24,0.00
PbLu,Pb,Lu,s3,37.47,0.10,0.00
AlTm,Al,Tm,s3,37.49,0.98,0.00
TbLu,Tb,Lu,s3,43.28,1.26,0.00
SiV,Si,V,s3,18.01,0.30,0.00
NbOs,Nb,Os,s3,21.63,0.81,0.00
IrCe,Ir,Ce,s3,33.52,0.23,1.26
ZrPr,Zr,Pr,s3,40.03,1.59,0.00
HoEr,Ho,Er,s3,43.72,1.26,0.00
WSm,W,Sm,s3,31.41,2.43,0.00
AuEr,Au,Er,s3,33.34,-0.30,0.00
BeSb,Be,Sb,s3,21.70,0.29,0.00
SnTc,Sn,Tc,s3,24.28,0.94,0.00
BaLu,Ba,Lu,s3,59.44,1.24,0.00
BrRh,Br,Rh,s3,22.97,0.50,0.00
PBr,P,Br,s3,37.57,0.98,0.00
PtPr,Pt,Pr,s3,32.20,-0.71,0.00
CaSi,Ca,Si,s3,39.02,0.75,0.00
ZrPt,Zr,Pt,s3,27.13,-0.27,0.00
NaAl,Na,Al,s3,35.99,-0.49,4.20
MgIn,Mg,In,s3,33.42,0.29,0.00
ClI,Cl,I,s3,46.84,0.01,0.85
PrEu,Pr,Eu,s3,48.14,1.21,0.00
CsIr,Cs,Ir,s3,34.72,2.44,0.00
AlRe,Al,Re,s3,19.68,1.17,0.00
INi,I,Ni,s3,24.61,0.28,0.00
KIn,K,In,s3,44.47,-1.52,4.72
PmLu,Pm,Lu,s3,43.74,1.23,0.00
InPt,In,Pt,s3,28.10,0.06,0.00
KRh,K,Rh,s3,44.47,0.40,4.72
BC,B,C,s3,6.74,0.48,0.00
TiNb,Ti,Nb,s3,23.47,1.63,0.00
BiRe,Bi,Re,s3,29.96,2.03,0.00
YTa,Y,Ta,s3,33.19,2.17,0.00
CuTc,Cu,Tc,s3,17.76,1.81,0.00
VIr,V,Ir,s3,18.78,0.44,0.00
AgEr,Ag,Er,s3,34.25,0.44,0.00
InS,In,S,s3,27.99,-0.35,0.00
CPd,C,Pd,s3,13.11,1.23,0.00
InC,In,C,s3,17.97,1.49,0.00
BeNd,Be,Nd,s3,31.82,1.19,0.00
PSc,P,Sc,s3,23.14,-1.23,0.00
GeHf,Ge,Hf,s3,24.89,-0.22,0.00
RhTm,Rh,Tm,s3,25.61,-0.28,0.33
ClRu,Cl,Ru,s3,15.81,0.59,0.00
SrY,Sr,Y,s3,57.71,1.30,0.00
BeSn,Be,Sn,s3,21.72,0.56,0.00
TlSi,Tl,Si,s3,30.60,0.79,0.00
PbPt,Pb,Pt,s3,29.53,0.15,0.00
HgTb,Hg,Tb,s3,38.59,0.30,0.00
LiF,Li,F,s4,10.39,-2.96,7.64
LiCl,Li,Cl,s4,21.07,-1.84,5.94
LiBr,Li,Br,s4,25.62,-1.57,4.93
LiI,Li,I,s4,33.31,-1.24,4.38
NaF,Na,F,s4,35.84,-1.46,4.19
NaCl,Na,Cl,s4,35.84,-1.44,4.19
NaBr,Na,Br,s4,35.84,-1.54,4.19
NaI,Na,I,s4,35.84,-1.60,4.19
KF,K,F,s4,44.49,-1.89,4.71
KCl,K,Cl,s4,44.49,-1.87,4.71
KBr,K,Br,s4,44.49,-1.97,4.71
KI,K,I,s4,44.49,-2.03,4.71
RbF,Rb,F,s4,51.32,-1.88,4.44
RbCl,Rb,Cl,s4,51.32,-1.86,4.44
RbBr,Rb,Br,s4,51.32,-1.96,4.44
RbI,Rb,I,s4,51.32,-2.02,4.44
CsF,Cs,F,s4,35.30,-2.59,4.67
CsCl,Cs,Cl,s4,59.55,-1.88,4.33
CsBr,Cs,Br,s4,69.49,-1.72,3.95
CsI,Cs,I,s4,82.55,-1.47,3.73
FCu,F,Cu,s4,14.55,-0.64,0.00
FAg,F,Ag,s4,20.27,-0.91,0.22
FAu,F,Au,s4,20.73,-0.09,0.00
ClCu,Cl,Cu,s4,20.15,-0.21,0.51
ClAg,Cl,Ag,s4,27.64,-0.45,1.29
ClAu,Cl,Au,s4,27.30,0.15,0.00
BrCu,Br,Cu,s4,23.43,-0.07,0.44
BrAg,Br,Ag,s4,31.17,-0.36,1.12
BrAu,Br,Au,s4,30.56,0.13,0.00
ICu,I,Cu,s4,28.03,0.03,1.13
IAg,I,Ag,s4,36.22,-0.28,1.34
IAu,I,Au,s4,34.61,0.05,0.00
BeO,Be,O,s4,7.04,-2.77,6.84
BeS,Be,S,s4,14.48,-1.06,3.14
BeSe,Be,Se,s4,17.32,-0.79,2.66
BeTe,Be,Te,s4,22.82,-0.36,2.03
MgO,Mg,O,s4,12.23,-2.63,3.48
MgS,Mg,S,s4,23.10,-1.41,3.37
MgSe,Mg,Se,s4,26.92,-1.25,2.54
MgTe,Mg,Te,s4,34.44,-0.87,2.32
CaO,Ca,O,s4,18.09,-2.80,3.26
CaS,Ca,S,s4,31.37,-1.89,3.63
CaSe,Ca,Se,s4,35.79,-1.77,3.16
CaTe,Ca,Te,s4,45.07,-1.40,3.06
SrO,Sr,O,s4,22.29,-2.60,2.46
SrS,Sr,S,s4,37.11,-1.88,3.03
SrSe,Sr,Se,s4,42.26,-1.79,2.69
SrTe,Sr,Te,s4,52.60,-1.47,2.73
BaO,Ba,O,s4,27.10,-2.44,2.26
BaS,Ba,S,s4,44.28,-1.85,2.74
BaSe,Ba,Se,s4,50.01,-1.80,2.49
BaTe,Ba,Te,s4,60.72,-1.52,2.56
SnO,Sn,O,s4,20.26,-0.87,0.00
SnS,Sn,S,s4,34.57,-0.17,0.15
SnSe,Sn,Se,s4,38.71,-0.21,0.03
SnTe,Sn,Te,s4,47.12,-0.04,0.09
PbO,Pb,O,s4,22.50,-0.97,0.47
PbS,Pb,S,s4,36.53,-0.36,0.83
PbSe,Pb,Se,s4,40.77,-0.39,0.65
PbTe,Pb,Te,s4,49.50,-0.22,0.64
OZn,O,Zn,s4,12.42,-1.36,0.61
OCd,O,Cd,s4,17.03,-1.03,0.00
OHg,O,Hg,s4,18.66,-0.18,0.00
SZn,S,Zn,s4,20.32,-0.73,1.98
SCd,S,Cd,s4,26.15,-0.65,1.03
SHg,S,Hg,s4,27.00,-0.12,0.00
SeZn,Se,Zn,s4,23.66,-0.63,1.14
SeCd,Se,Cd,s4,29.98,-0.64,0.48
SeHg,Se,Hg,s4,30.98,-0.20,0.00
TeZn,Te,Zn,s4,29.49,-0.39,1.07
TeCd,Te,Cd,s4,36.15,-0.47,0.59
TeHg,Te,Hg,s4,36.78,-0.16,0.00
BN,B,N,s4,5.96,-3.83,4.45
BP,B,P,s4,11.77,-0.41,1.25
BAs,B,As,s4,13.99,-0.02,1.21
BSb,B,Sb,s4,18.45,0.37,0.76
BBi,B,Bi,s4,21.30,0.82,0.07
AlN,Al,N,s4,10.69,-4.00,3.31
AlP,Al,P,s4,20.84,-0.61,1.63
AlAs,Al,As,s4,23.54,-0.48,1.50
AlSb,Al,Sb,s4,30.36,-0.16,1.21
AlBi,Al,Bi,s4,33.54,0.08,0.00
GaN,Ga,N,s4,12.08,-3.07,1.46
GaP,Ga,P,s4,21.19,-0.40,1.51
GaAs,Ga,As,s4,23.88,-0.35,0.16
GaSb,Ga,Sb,s4,29.98,-0.17,0.00
GaBi,Ga,Bi,s4,33.59,0.00,0.00
InN,In,N,s4,16.60,-2.48,0.00
InP,In,P,s4,26.99,-0.20,0.38
InAs,In,As,s4,29.98,-0.24,0.00
InSb,In,Sb,s4,36.66,-0.13,0.00
InBi,In,Bi,s4,39.95,0.00,0.00
TlN,Tl,N,s4,19.37,-1.59,0.00
TlP,Tl,P,s4,29.98,0.30,0.00
TlAs,Tl,As,s4,33.16,0.16,0.00
TlSb,Tl,Sb,s4,40.00,0.16,0.00
TlBi,Tl,Bi,s4,43.22,0.19,0.00
CSi,C,Si,s4,10.51,-0.21,1.37
CGe,C,Ge,s4,12.44,0.47,1.64
CSn,C,Sn,s4,16.57,0.81,0.59
SiGe,Si,Ge,s4,22.10,0.04,0.61
SiSn,Si,Sn,s4,28.12,0.16,0.36
GeSn,Ge,Sn,s4,30.20,0.02,0.00
SnAl,Sn,Al,s4,31.27,0.32,0.00
CuAu,Cu,Au,s4,23.57,0.86,0.00
CuAg,Cu,Ag,s4,23.86,1.12,0.00
AgAu,Ag,Au,s4,30.21,0.64,0.00
SnZn,Sn,Zn,s4,29.55,0.45,0.00
AlZn,Al,Zn,s4,25.30,0.71,0.00
AlGa,Al,Ga,s4,26.35,0.50,0.00
BiSn,Bi,Sn,s4,44.43,0.21,0.00
NiPd,Ni,Pd,s4,20.06,1.31,0.00
NiPt,Ni,Pt,s4,19.94,1.16,0.00
PdPt,Pd,Pt,s4,24.13,1.15,0.00
PdFe,Pd,Fe,s4,18.58,1.52,0.00
PtFe,Pt,Fe,s4,18.80,1.01,0.00
SnSb,Sn,Sb,s4,41.15,0.18,0.00
CeCo,Ce,Co,s4,28.85,0.88,0.17
GaCo,Ga,Co,s4,18.62,0.77,0.00
CeZr,Ce,Zr,s4,36.12,2.03,0.00
NaK,Na,K,s4,35.84,-1.84,4.19
KLi,K,Li,s4,68.91,0.51,0.00
AlV,Al,V,s4,24.09,1.89,0.00
VCr,V,Cr,s4,17.58,2.32,0.00
PbSb,Pb,Sb,s4,44.53,0.22,0.00
RbPb,Rb,Pb,s4,51.32,-0.99,4.44
LiDy,Li,Dy,s4,35.81,1.27,0.00
IIr,I,Ir,s4,26.70,0.97,0.00
PbMo,Pb,Mo,s4,31.18,2.11,0.00
BiLu,Bi,Lu,s4,42.56,-0.26,1.50
GeTe,Ge,Te,s4,38.66,0.15,0.00
BaSm,Ba,Sm,s4,42.90,1.55,0.00
TeFe,Te,Fe,s4,22.70,0.45,0.00
ONb,O,Nb,s4,13.86,-1.30,0.00
TeCu,Te,Cu,s4,25.66,0.16,0.00
PrGd,Pr,Gd,s4,40.65,1.68,0.00
CrNi,Cr,Ni,s4,16.09,1.68,0.00
NiW,Ni,W,s4,19.03,1.83,0.00
COs,C,Os,s4,12.22,0.68,0.15
NEr,N,Er,s4,17.75,-4.15,1.88
NaSm,Na,Sm,s4,35.84,-0.04,4.19
KOs,K,Os,s4,44.49,3.40,4.71
EuTm,Eu,Tm,s4,41.35,1.86,0.00
CsNb,Cs,Nb,s4,31.50,3.19,0.00
BiTb,Bi,Tb,s4,45.06,-0.36,1.33
PbPd,Pb,Pd,s4,29.98,0.17,0.00
RbPr,Rb,Pr,s4,51.32,-0.41,4.44
BiCl,Bi,Cl,s4,40.67,0.33,0.00
NS,N,S,s4,14.41,-0.62,0.00
TiLa,Ti,La,s4,29.52,1.81,0.00
MnMo,Mn,Mo,s4,18.90,1.79,0.00
NY,N,Y,s4,18.36,-4.10,2.05
SeY,Se,Y,s4,32.71,-1.37,0.00
CdYb,Cd,Yb,s4,44.03,0.25,0.00
LiTa,Li,Ta,s4,20.01,2.80,0.00
CAs,C,As,s4,14.19,1.46,0.00
GeSb,Ge,Sb,s4,33.57,0.28,0.00
SW,S,W,s4,18.96,0.46,0.00
NiMo,Ni,Mo,s4,18.85,1.63,0.00
TiTb,Ti,Tb,s4,30.91,2.23,0.00
NbLa,Nb,La,s4,28.92,2.12,0.00
BaSi,Ba,Si,s4,51.29,0.72,0.00
TeEu,Te,Eu,s4,42.27,-0.89,0.00
LiNa,Li,Na,s4,41.08,0.48,0.00
KBa,K,Ba,s4,44.49,-1.83,4.71
LaHo,La,Ho,s4,46.20,1.61,0.00
KEu,K,Eu,s4,44.49,-0.48,4.71
PbTb,Pb,Tb,s4,44.34,0.42,0.00
KTc,K,Tc,s4,44.49,2.40,4.71
CFe,C,Fe,s4,9.50,0.51,0.47
GeZr,Ge,Zr,s4,29.03,0.24,0.11
ZnPm,Zn,Pm,s4,36.04,0.66,0.00
CoNi,Co,Ni,s4,15.53,1.58,0.00
LiPd,Li,Pd,s4,19.71,0.51,0.00
MnAg,Mn,Ag,s4,26.71,1.28,0.00
SbPd,Sb,Pd,s4,27.07,-0.04,0.00
VRh,V,Rh,s4,19.94,0.75,0.00
TiRh,Ti,Rh,s4,21.94,0.37,0.00
LiNd,Li,Nd,s4,37.78,1.17,0.00
SYb,S,Yb,s4,30.77,-1.94,3.22
CrAg,Cr,Ag,s4,21.90,2.33,0.00
PEu,P,Eu,s4,32.54,-1.06,1.49
CsCo,Cs,Co,s4,26.43,2.30,0.00
TeAu,Te,Au,s4,30.79,-0.02,0.00
CuZn,Cu,Zn,s4,21.53,0.92,0.00
TaIr,Ta,Ir,s4,24.11,0.47,0.00
NMo,N,Mo,s4,12.55,-2.71,0.00
GeDy,Ge,Dy,s4,34.69,0.12,0.00
FIr,F,Ir,s4,16.46,1.33,0.00
CdTa,Cd,Ta,s4,29.41,2.35,0.00
BiHg,Bi,Hg,s4,38.50,0.27,0.00
KSc,K,Sc,s4,44.49,0.38,4.71
NbDy,Nb,Dy,s4,31.39,2.62,0.00
MnPt,Mn,Pt,s4,18.85,0.94,0.00
SnPm,Sn,Pm,s4,45.21,0.23,0.00
BaV,Ba,V,s4,33.99,2.68,0.00
TeHf,Te,Hf,s4,33.58,0.22,0.00
TcAu,Tc,Au,s4,23.77,1.75,0.00
IrSm,Ir,Sm,s4,31.23,0.23,0.94
MnEu,Mn,Eu,s5,19.72,0.68,0.00
OsDy,Os,Dy,s5,19.67,0.03,0.00
FHo,F,Ho,s5,17.80,-1.44,0.00
GaTb,Ga,Tb,s5,23.07,-0.58,0.00
TeHg,Te,Hg,s5,27.71,0.25,0.00
CaCr,Ca,Cr,s5,18.62,1.40,0.00
TiCu,Ti,Cu,s5,14.44,0.18,0.00
SiGd,Si,Gd,s5,22.03,-0.48,0.00
RhAg,Rh,Ag,s5,15.71,0.36,0.00
CuTb,Cu,Tb,s5,21.18,-0.05,0.00
SbTc,Sb,Tc,s5,17.32,0.16,0.00
TlTc,Tl,Tc,s5,18.25,0.96,0.00
RuDy,Ru,Dy,s5,19.50,-0.28,0.00
LaHf,La,Hf,s5,28.11,0.30,0.00
PbV,Pb,V,s5,19.27,0.78,0.00
AlLa,Al,La,s5,27.43,-0.35,0.00
NaSb,Na,Sb,s5,25.79,-0.19,2.90
CuW,Cu,W,s5,14.02,0.56,0.00
SiNd,Si,Nd,s5,23.77,-0.43,0.00
ClW,Cl,W,s5,16.04,1.54,0.00
ScOs,Sc,Os,s5,16.65,-0.23,0.00
AsTi,As,Ti,s5,16.22,-0.54,0.00
InSc,In,Sc,s5,22.82,-0.38,0.00
TcRh,Tc,Rh,s5,14.06,-0.09,0.00
YOs,Y,Os,s5,19.75,0.06,0.00
KTe,K,Te,s5,28.06,-1.22,4.81
BiNb,Bi,Nb,s5,21.71,0.34,0.00
CsV,Cs,V,s5,31.16,2.25,0.00
AlFe,Al,Fe,s5,11.73,-0.26,0.00
NFe,N,Fe,s5,7.56,-1.82,0.00
SbBi,Sb,Bi,s5,29.52,0.18,0.00
TlSb,Tl,Sb,s5,30.34,0.05,0.00
AsMo,As,Mo,s5,15.23,-0.03,0.00
MgYb,Mg,Yb,s5,30.69,-0.04,0.00
CoIr,Co,Ir,s5,12.41,0.02,0.00
PLu,P,Lu,s5,19.59,-1.00,0.00
SrAs,Sr,As,s5,27.63,-0.86,0.00
KP,K,P,s5,28.06,-0.09,4.81
NaAu,Na,Au,s5,25.79,-0.65,2.90
RuW,Ru,W,s5,14.92,0.06,0.00
InHo,In,Ho,s5,26.38,-0.46,0.00
NaK,Na,K,s5,25.79,-1.74,2.90
GePm,Ge,Pm,s5,24.44,-0.64,0.00
BiTm,Bi,Tm,s5,28.73,-0.52,0.00
BS,B,S,s5,10.78,1.77,0.00
CRe,C,Re,s5,9.74,1.05,0.00
IPr,I,Pr,s5,30.24,-0.85,0.00
AlSm,Al,Sm,s5,24.86,-0.37,0.00
SeAu,Se,Au,s5,19.94,0.38,0.00
VCe,V,Ce,s5,23.38,0.86,0.00
WYb,W,Yb,s5,18.97,0.81,0.00
BeHg,Be,Hg,s5,15.57,0.60,0.00
LiCl,Li,Cl,s5,17.73,-1.53,4.36
BeTi,Be,Ti,s5,12.59,-0.11,0.00
AsNi,As,Ni,s5,13.93,0.15,0.00
KAu,K,Au,s5,27.87,-1.20,4.86
SbCr,Sb,Cr,s5,16.45,0.55,0.00
DyTm,Dy,Tm,s5,30.56,0.00,0.00
PtDy,Pt,Dy,s5,20.96,-1.14,0.00
PbSm,Pb,Sm,s5,29.51,-0.47,0.00
NaPb,Na,Pb,s5,25.79,-0.47,2.90
TlZr,Tl,Zr,s5,22.82,-0.04,0.00
LiW,Li,W,s5,15.26,0.65,0.00
VPm,V,Pm,s5,22.10,0.80,0.00
SiLa,Si,La,s5,24.89,-0.49,0.00
SeMo,Se,Mo,s5,15.61,0.10,0.00
SbNb,Sb,Nb,s5,19.92,-0.05,0.00
VNd,V,Nd,s5,22.39,0.82,0.00
BPm,B,Pm,s5,18.35,0.38,0.00
PZn,P,Zn,s5,15.56,0.48,0.00
SeCo,Se,Co,s5,13.77,0.30,0.00
ClRh,Cl,Rh,s5,15.39,0.67,0.00
LiP,Li,P,s5,13.50,-0.38,0.00
SrCl,Sr,Cl,s5,30.78,-1.27,0.00
GaC,Ga,C,s5,11.15,1.89,0.00
GeRe,Ge,Re,s5,14.57,0.32,0.00
NiCd,Ni,Cd,s5,15.36,0.20,0.00
RbHg,Rb,Hg,s5,31.46,-2.70,4.80
RhSm,Rh,Sm,s5,21.20,-0.65,0.00
GeRh,Ge,Rh,s5,14.54,-0.30,0.00
GaS,Ga,S,s5,17.40,-0.02,0.00
CSc,C,Sc,s5,11.91,0.43,0.00
TePm,Te,Pm,s5,28.63,-1.30,0.00
CoAu,Co,Au,s5,14.04,0.45,0.00
MgV,Mg,V,s5,16.51,0.51,0.00
SHg,S,Hg,s5,20.81,0.54,0.00
LaLu,La,Lu,s5,33.18,0.04,0.00
PTb,P,Tb,s5,21.15,-1.08,0.00
AuPm,Au,Pm,s5,25.04,-0.79,0.00
CsEu,Cs,Eu,s5,48.29,0.81,0.00
ZrPd,Zr,Pd,s5,18.48,-0.59,0.00
CaRh,Ca,Rh,s5,19.81,-0.20,0.00
AlYb,Al,Yb,s5,24.61,-0.15,0.00
AsPm,As,Pm,s5,24.56,-1.07,0.00
TiIr,Ti,Ir,s5,15.00,-0.81,0.00
CsB,Cs,B,s5,32.59,2.03,0.00
CaLu,Ca,Lu,s5,35.09,0.22,0.00
AsOs,As,Os,s5,14.76,0.48,0.00
AlGa,Al,Ga,s5,17.60,0.05,0.00
CrMo,Cr,Mo,s5,13.68,0.07,0.00
PbSb,Pb,Sb,s5,30.20,0.10,0.00
BeS,Be,S,s5,12.52,0.46,0.00
CaSe,Ca,Se,s5,24.36,-1.68,0.77
SnS,Sn,S,s5,22.08,-0.15,0.00
OZn,O,Zn,s5,9.76,-0.65,0.00
ClAu,Cl,Au,s5,19.98,0.36,0.00
MgSe,Mg,Se,s5,20.38,-0.67,0.00
ClAg,Cl,Ag,s5,19.99,-0.28,0.56
CuAg,Cu,Ag,s5,14.95,0.28,0.00
AgAu,Ag,Au,s5,17.79,-0.06,0.00
SrTe,Sr,Te,s5,34.06,-1.50,0.46
SeCd,Se,Cd,s5,22.56,-0.03,0.00
CsBr,Cs,Br,s5,41.26,-1.75,4.31
CrW,Cr,W,s5,13.76,0.04,0.00
SrSe,Sr,Se,s5,27.93,-1.79,1.35
SeZn,Se,Zn,s5,18.76,0.22,0.00
NaI,Na,I,s5,25.79,-1.50,2.90
CeCo,Ce,Co,s5,20.27,0.29,0.00
CuMg,Cu,Mg,s5,15.67,0.09,0.00
RbTa,Rb,Ta,s6,30.34,4.39,4.89
BW,B,W,s6,11.34,0.13,0.00
ScRe,Sc,Re,s6,17.34,0.25,0.00
ClTi,Cl,Ti,s6,20.15,-0.18,0.00
ZnHo,Zn,Ho,s6,25.10,0.15,0.00
SeRh,Se,Rh,s6,15.76,0.07,0.00
AsZn,As,Zn,s6,18.73,0.17,0.00
CsCu,Cs,Cu,s6,33.48,0.81,0.00
RhTa,Rh,Ta,s6,15.84,-0.47,0.00
ORe,O,Re,s6,11.04,-0.40,0.00
PdEu,Pd,Eu,s6,26.92,-0.36,0.00
ScRu,Sc,Ru,s6,16.49,-0.46,0.00
CoTm,Co,Tm,s6,20.75,0.22,0.00
CoEu,Co,Eu,s6,22.40,0.29,0.00
CEr,C,Er,s6,15.50,0.22,0.00
ReOs,Re,Os,s6,14.23,0.32,0.00
IrLu,Ir,Lu,s6,18.69,-0.94,0.00
BEr,B,Er,s6,16.40,0.18,0.00
CrPr,Cr,Pr,s6,22.11,0.88,0.00
CaCo,Ca,Co,s6,20.12,0.54,0.00
BrLa,Br,La,s6,37.29,-0.96,0.00
SnCr,Sn,Cr,s6,17.70,0.46,0.00
SeRu,Se,Ru,s6,16.41,0.40,0.00
CaZn,Ca,Zn,s6,24.59,-0.14,0.00
ZrNb,Zr,Nb,s6,20.54,0.20,0.00
YHo,Y,Ho,s6,31.71,0.02,0.00
LiPb,Li,Pb,s6,23.12,-0.27,0.00
PbTc,Pb,Tc,s6,18.59,0.81,0.00
FPr,F,Pr,s6,22.97,-2.48,0.00
PbEr,Pb,Er,s6,27.82,-0.37,0.00
CSm,C,Sm,s6,17.56,0.37,0.00
SnBr,Sn,Br,s6,36.75,-0.25,0.00
GeTb,Ge,Tb,s6,27.08,-0.18,0.00
RhRe,Rh,Re,s6,14.30,-0.08,0.00
KMn,K,Mn,s6,27.32,1.80,4.90
VCd,V,Cd,s6,19.29,0.57,0.00
KBi,K,Bi,s6,27.32,-0.84,4.90
PHg,P,Hg,s6,21.10,0.33,0.00
AuTm,Au,Tm,s6,26.64,-0.36,0.00
KO,K,O,s6,27.32,-0.31,4.90
RbAl,Rb,Al,s6,30.34,-0.89,4.89
NiPr,Ni,Pr,s6,24.40,0.20,0.00
LiBi,Li,Bi,s6,25.34,-0.03,0.00
OOs,O,Os,s6,11.04,0.14,0.00
SrZn,Sr,Zn,s6,28.62,-0.06,0.00
NaAs,Na,As,s6,32.62,0.01,3.81
IFe,I,Fe,s6,18.24,1.34,0.00
SbCo,Sb,Co,s6,15.60,0.37,0.00
RuRh,Ru,Rh,s6,13.86,0.05,0.00
CrCu,Cr,Cu,s6,11.74,0.49,0.00
SeSm,Se,Sm,s6,30.57,-1.30,0.00
SnFe,Sn,Fe,s6,15.08,0.40,0.00
PbTm,Pb,Tm,s6,27.79,-0.36,0.00
TlPr,Tl,Pr,s6,30.23,-0.38,0.00
PtTm,Pt,Tm,s6,25.75,-0.68,0.00
BaGe,Ba,Ge,s6,33.54,-0.33,0.00
TlCe,Tl,Ce,s6,31.26,-0.38,0.00
MgNd,Mg,Nd,s6,32.56,0.29,0.00
PmTb,Pm,Tb,s6,33.18,0.01,0.00
PmSm,Pm,Sm,s6,34.04,0.01,0.00
RbOs,Rb,Os,s6,30.34,3.42,4.89
LaPr,La,Pr,s6,36.39,0.01,0.00
LiF,Li,F,s6,12.28,-2.88,6.99
CrMn,Cr,Mn,s6,11.05,0.08,0.00
SbSm,Sb,Sm,s6,34.71,-0.25,0.00
HgTm,Hg,Tm,s6,24.74,-0.49,0.00
IrPm,Ir,Pm,s6,20.88,-0.49,0.00
BeIr,Be,Ir,s6,11.54,-0.16,0.00
ZrPm,Zr,Pm,s6,27.64,0.20,0.00
CeGd,Ce,Gd,s6,34.88,0.01,0.00
LaEu,La,Eu,s6,35.10,0.02,0.00
MoYb,Mo,Yb,s6,26.96,0.63,0.00
ONi,O,Ni,s6,10.92,-0.33,0.00
BaTb,Ba,Tb,s6,42.37,0.32,0.00
SbF,Sb,F,s6,17.37,-0.88,0.00
YNd,Y,Nd,s6,33.55,0.02,0.00
AuEu,Au,Eu,s6,28.72,-0.30,0.00
GaBi,Ga,Bi,s6,28.10,0.04,0.00
SbCd,Sb,Cd,s6,26.89,0.16,0.00
RbYb,Rb,Yb,s6,30.34,-2.03,4.89
AlAu,Al,Au,s6,16.93,-0.27,0.00
PPr,P,Pr,s6,24.23,-1.12,0.00
SeTe,Se,Te,s6,29.34,0.20,0.00
CPb,C,Pb,s6,21.39,1.92,0.00
TlLu,Tl,Lu,s6,26.41,-0.21,0.00
OsPt,Os,Pt,s6,14.80,0.26,0.00
ZnOs,Zn,Os,s6,14.88,0.68,0.00
MoLu,Mo,Lu,s6,25.16,0.54,0.00
NiCe,Ni,Ce,s6,24.90,0.22,0.00
ZrLu,Zr,Lu,s6,25.55,0.09,0.00
TlRe,Tl,Re,s6,18.57,1.51,0.00
RuEu,Ru,Eu,s6,25.10,0.33,0.00
SeEr,Se,Er,s6,27.75,-1.20,0.00
CaCl,Ca,Cl,s6,31.65,-1.35,0.00
NNd,N,Nd,s6,17.49,-3.64,1.21
GaCl,Ga,Cl,s6,24.14,-0.62,1.47
SnLa,Sn,La,s6,30.27,-0.73,0.00
TlGe,Tl,Ge,s6,25.40,0.29,0.00
RbI,Rb,I,s6,30.34,-2.01,4.89
SCd,S,Cd,s6,31.65,-0.19,0.00
PtFe,Pt,Fe,s6,12.80,0.22,0.00
LiAl,Li,Al,s6,15.45,-0.11,0.00
MgMn,Mg,Mn,s6,16.13,0.39,0.00
KCl,K,Cl,s6,27.32,-1.86,4.90
KBr,K,Br,s6,27.32,-1.96,4.90
MgO,Mg,O,s6,13.67,-2.35,2.91
BAs,B,As,s6,17.57,0.48,0.00
PbS,Pb,S,s6,25.59,-0.33,0.00
SeHg,Se,Hg,s6,26.26,0.13,0.00
TeCd,Te,Cd,s6,30.32,0.12,0.00
GaN,Ga,N,s6,13.62,-2.35,0.77
GaCo,Ga,Co,s6,11.85,-0.29,0.00
RbF,Rb,F,s6,30.34,-1.87,4.89
MgTe,Mg,Te,s6,37.03,-0.79,2.59
AlSc,Al,Sc,s6,19.53,-0.39,0.00
VCr,V,Cr,s6,12.60,0.19,0.00
BSb,B,Sb,s6,19.48,0.66,0.00
BiSn,Bi,Sn,s6,31.51,0.04,0.00
AlP,Al,P,s7,17.41,-0.17,0.00
CZr,C,Zr,s7,18.01,-0.30,0.00
CoCe,Co,Ce,s7,24.79,0.61,0.00
